parcela2,parcela,N,N2,V,V2,ABu,ABu2,AB,AB2,CI,CI2,AD,AD2,E,E2,Anio_Aclareo,Aclareo,star_aclareo,Densidad,Densidad2,Mortalidad,V_mort,AB_mort,V_punta_10cm,V_punta_10cm2,V_mort_punta10cm,V_punta_15cm,V_punta_15cm2,DCM
1,1,2779.836916,2755.127255,0,43.976145,0,0,16.46232,21.72016,#¿NOMBRE?,#¿NOMBRE?,0,7.0104,4.2,5.1,SA,SA,NA,Alta,Alta,0,0,0,0,9.522917,0,0,0,8.683422249
1,1,2755.127255,2730.417593,43.976145,67.052251,0,0,21.72016,26.67952,#¿NOMBRE?,#¿NOMBRE?,7.0104,8.2296,5.1,6.2,SA,SA,NA,Alta,Alta,24.70966148,0.097958,0.06888,9.522917,27.694126,0,0,0,10.01880071
1,1,2730.417593,2730.417593,67.052251,91.947577,0,0,26.67952,30.8812,#¿NOMBRE?,#¿NOMBRE?,8.2296,9.7536,6.2,7,SA,SA,NA,Alta,Alta,24.70966148,0.013994,0.02296,27.694126,49.272874,0,0,0,11.15397145
1,1,2730.417593,2705.707932,91.947577,109.489056,0,0,30.8812,33.9808,#¿NOMBRE?,#¿NOMBRE?,9.7536,10.3632,7,7.7,SA,SA,NA,Alta,Alta,0,0,0,49.272874,66.604443,0,0,0,12.00017575
1,1,2705.707932,2594.514455,109.489056,136.210599,0,0,33.9808,36.94264,#¿NOMBRE?,#¿NOMBRE?,10.3632,11.5824,7.7,8.9,SA,SA,NA,Alta,Alta,24.70966148,0.027988,0.02296,66.604443,93.493914,0,0,0,12.64536593
1,1,2594.514455,2421.546825,136.210599,153.255291,0,0,36.94264,38.18248,#¿NOMBRE?,#¿NOMBRE?,11.5824,12.8016,8.9,10.3,SA,SA,NA,Alta,Alta,111.1934766,2.148079,0.73472,93.493914,112.693682,0.216907,0,0.146937,13.4645231
1,1,2421.546825,2050.901903,153.255291,170.950704,0,0,38.18248,37.44776,#¿NOMBRE?,#¿NOMBRE?,12.8016,14.3256,10.3,12.1,SA,SA,NA,Alta,Alta,172.9676303,5.289732,1.53832,112.693682,135.979698,1.854205,0.146937,1.826217,14.16904861
1,1,2050.901903,2050.901903,170.950704,208.776486,0,0,37.44776,40.8688,#¿NOMBRE?,#¿NOMBRE?,14.3256,15.8496,12.1,14.3,SA,SA,NA,Alta,Alta,370.6449222,14.161928,3.6736,135.979698,171.70638,6.15736,1.826217,6.836069,15.24739101
1,1,2050.901903,1964.418087,208.776486,235.7989,0,0,40.8688,43.30256,#¿NOMBRE?,#¿NOMBRE?,15.8496,16.764,14.3,16.1,SA,SA,NA,Alta,Alta,0,0,0,171.70638,200.589996,0,6.836069,14.546763,15.92863492
1,1,1964.418087,1828.514949,235.7989,278.34066,0,0,43.30256,46.17256,#¿NOMBRE?,#¿NOMBRE?,16.764,18.288,16.1,18.1,SA,SA,NA,Alta,Alta,86.48381517,5.142795,1.05616,200.589996,245.713649,3.001713,14.546763,33.648573,16.75308852
