"","parcela","N1","V1","AB1","AD1","E1","N2","V2","AB2","AD2","E2","Aclareo","Et","ABu","B"
"1",1,2779.83691623425,0,16.46232,0,4.2,2755.12725475661,43.976145,21.72016,7.0104,5.1,"SA",0,0,0
"2",1,2755.12725475661,43.976145,21.72016,7.0104,5.1,2730.41759327897,67.052251,26.67952,8.2296,6.2,"SA",0,0,0
"3",1,2730.41759327897,67.052251,26.67952,8.2296,6.2,2730.41759327897,91.947577,30.8812,9.7536,7,"SA",0,0,0
"4",1,2730.41759327897,91.947577,30.8812,9.7536,7,2705.70793180133,109.489056,33.9808,10.3632,7.7,"SA",0,0,0
"5",1,2705.70793180133,109.489056,33.9808,10.3632,7.7,2594.51445515196,136.210599,36.94264,11.5824,8.9,"SA",0,0,0
"6",1,2594.51445515196,136.210599,36.94264,11.5824,8.9,2421.5468248085,153.255291,38.18248,12.8016,10.3,"SA",0,0,0
"7",1,2421.5468248085,153.255291,38.18248,12.8016,10.3,2050.90190264393,170.950704,37.44776,14.3256,12.1,"SA",0,0,0
"8",1,2050.90190264393,170.950704,37.44776,14.3256,12.1,2050.90190264393,208.776486,40.8688,15.8496,14.3,"SA",0,0,0
"9",1,2050.90190264393,208.776486,40.8688,15.8496,14.3,1964.4180874722,235.7989,43.30256,16.764,16.1,"SA",0,0,0
"10",1,1964.4180874722,235.7989,43.30256,16.764,16.1,1828.51494934519,278.34066,46.17256,18.288,18.1,"SA",0,0,0
"11",1,1828.51494934519,278.34066,46.17256,18.288,18.1,1618.48282678527,316.789175,47.34352,19.5072,20.3,"SA",0,0,0
"12",1,1618.48282678527,316.789175,47.34352,19.5072,20.3,1507.2893501359,343.993511,48.28488,21.0312,22.1,"SA",0,0,0
"13",1,1507.2893501359,343.993511,48.28488,21.0312,22.1,1371.3862120089,373.737758,49.84616,22.2504,24,"SA",0,0,0
"14",1,1371.3862120089,373.737758,49.84616,22.2504,24,1309.6120583148,412.19327,51.40744,24.0792,26,"SA",0,0,0
"15",1,1309.6120583148,412.19327,51.40744,24.0792,26,1235.48307388189,442.021481,53.22128,24.384,28.1,"SA",0,0,0
"16",1,1235.48307388189,442.021481,53.22128,24.384,28.1,1124.28959723252,453.944369,52.64728,24.9936,30,"SA",0,0,0
"17",1,1124.28959723252,453.944369,52.64728,24.9936,30,1099.57993575488,488.068738,54.8744,25.908,32.1,"SA",0,0,0
"18",1,1099.57993575488,488.068738,54.8744,25.908,32.1,951.321966889054,491.532253,53.0376,26.2128,34.1,"SA",0,0,0
"19",1,951.321966889054,491.532253,53.0376,26.2128,34.1,827.773659500865,496.199252,52.25696,27.1272,36.2,"SA",0,0,0
"20",1,827.773659500865,496.199252,52.25696,27.1272,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"21",2,1470.22485791945,0,9.66616,0,4.2,1470.22485791945,30.115088,14.35,6.7056,5.1,"SA",0,0,0
"22",2,1470.22485791945,30.115088,14.35,6.7056,5.1,1470.22485791945,49.853625,19.0568,8.2296,6.2,"SA",0,0,0
"23",2,1470.22485791945,49.853625,19.0568,8.2296,6.2,1470.22485791945,72.936728,23.51104,9.7536,7,"SA",0,0,0
"24",2,1470.22485791945,72.936728,23.51104,9.7536,7,1470.22485791945,86.909737,25.73816,10.3632,7.7,"SA",0,0,0
"25",2,1470.22485791945,86.909737,25.73816,10.3632,7.7,1470.22485791945,112.672691,29.34288,11.8872,8.9,"SA",0,0,0
"26",2,1470.22485791945,112.672691,29.34288,11.8872,8.9,1470.22485791945,136.672401,32.8328,13.1064,10.3,"SA",0,0,0
"27",2,1470.22485791945,136.672401,32.8328,13.1064,10.3,1445.51519644181,167.480192,35.4732,14.3256,12.1,"SA",0,0,0
"28",2,1445.51519644181,167.480192,35.4732,14.3256,12.1,1408.45070422535,195.601135,37.90696,15.8496,14.3,"SA",0,0,0
"29",2,1408.45070422535,195.601135,37.90696,15.8496,14.3,1371.3862120089,222.021807,40.43256,16.4592,16.1,"SA",0,0,0
"30",2,1371.3862120089,222.021807,40.43256,16.4592,16.1,1284.90239683716,257.790471,42.61376,17.9832,18.1,"SA",0,0,0
"31",2,1284.90239683716,257.790471,42.61376,17.9832,18.1,1272.54756609834,316.313379,46.65472,19.812,20.3,"SA",0,0,0
"32",2,1272.54756609834,316.313379,46.65472,19.812,20.3,1247.83790462071,343.286814,48.3308,21.0312,22.1,"SA",0,0,0
"33",2,1247.83790462071,343.286814,48.3308,21.0312,22.1,1074.87027427724,357.735619,48.03232,21.6408,24,"SA",0,0,0
"34",2,1074.87027427724,357.735619,48.03232,21.6408,24,1050.1606127996,399.059901,49.96096,22.86,26,"SA",0,0,0
"35",2,1050.1606127996,399.059901,49.96096,22.86,26,1013.09612058315,433.163279,52.18808,23.4696,28.1,"SA",0,0,0
"36",2,1013.09612058315,433.163279,52.18808,23.4696,28.1,901.902643933778,431.721897,50.46608,24.0792,30,"SA",0,0,0
"37",2,901.902643933778,431.721897,50.46608,24.0792,30,864.838151717321,449.648211,51.66,24.6888,32.1,"SA",0,0,0
"38",2,864.838151717321,449.648211,51.66,24.6888,32.1,765.99950580677,459.066173,50.71864,25.6032,34.1,"SA",0,0,0
"39",2,765.99950580677,459.066173,50.71864,25.6032,34.1,667.160859896219,447.94794,49.86912,26.2128,36.2,"SA",0,0,0
"40",2,667.160859896219,447.94794,49.86912,26.2128,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"41",3,988.38645910551,0,7.04872,0,4.2,976.031628366691,23.223043,10.58456,6.7056,5.1,"SA",0,0,0
"42",3,976.031628366691,23.223043,10.58456,6.7056,5.1,976.031628366691,39.917885,14.53368,7.9248,6.2,"SA",0,0,0
"43",3,976.031628366691,39.917885,14.53368,7.9248,6.2,976.031628366691,59.439515,18.368,9.4488,7,"SA",0,0,0
"44",3,976.031628366691,59.439515,18.368,9.4488,7,976.031628366691,71.642283,20.4344,10.3632,7.7,"SA",0,0,0
"45",3,976.031628366691,71.642283,20.4344,10.3632,7.7,976.031628366691,94.900311,23.90136,11.5824,8.9,"SA",0,0,0
"46",3,976.031628366691,94.900311,23.90136,11.5824,8.9,976.031628366691,120.019541,27.50608,12.8016,10.3,"SA",0,0,0
"47",3,976.031628366691,120.019541,27.50608,12.8016,10.3,938.967136150235,143.564446,29.22808,14.3256,12.1,"SA",0,0,0
"48",3,938.967136150235,143.564446,29.22808,14.3256,12.1,938.967136150235,173.483618,31.89144,15.5448,14.3,"SA",0,0,0
"49",3,938.967136150235,173.483618,31.89144,15.5448,14.3,926.612305411416,198.120055,34.46296,16.764,16.1,"SA",0,0,0
"50",3,926.612305411416,198.120055,34.46296,16.764,16.1,926.612305411416,236.42863,37.70032,17.9832,18.1,"SA",0,0,0
"51",3,926.612305411416,236.42863,37.70032,17.9832,18.1,889.547813194959,283.595407,40.57032,19.5072,20.3,"SA",0,0,0
"52",3,889.547813194959,283.595407,40.57032,19.5072,20.3,889.547813194959,311.310524,42.3612,20.7264,22.1,"SA",0,0,0
"53",3,889.547813194959,311.310524,42.3612,20.7264,22.1,840.128490239684,336.27582,43.8536,21.6408,24,"SA",0,0,0
"54",3,840.128490239684,336.27582,43.8536,21.6408,24,827.773659500865,377.397189,45.87408,24.0792,26,"SA",0,0,0
"55",3,827.773659500865,377.397189,45.87408,24.0792,26,778.354336545589,403.985789,47.11392,24.9936,28.1,"SA",0,0,0
"56",3,778.354336545589,403.985789,47.11392,24.9936,28.1,741.289844329133,425.844417,47.43536,25.2984,30,"SA",0,0,0
"57",3,741.289844329133,425.844417,47.43536,25.2984,30,728.935013590314,448.472715,49.22624,25.2984,32.1,"SA",0,0,0
"58",3,728.935013590314,448.472715,49.22624,25.2984,32.1,679.515690635038,462.144853,49.57064,25.6032,34.1,"SA",0,0,0
"59",3,679.515690635038,462.144853,49.57064,25.6032,34.1,617.741536940944,458.93323,50.32832,27.1272,36.2,"SA",0,0,0
